class,samples,v4_top1,v6_top1,avg_top1,conf_top1,trust_top1,oracle_top1
play_banjo,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
play_castanets,3,0.0,0.0,0.0,0.0,0.0,0.0
play_cello,3,0.0,33.333333333333336,33.333333333333336,0.0,66.66666666666667,33.333333333333336
play_clarinet,3,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,0.0,66.66666666666667
play_cornett,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
play_cymbals,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
play_diabolo,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_doublebass,3,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_erhu,3,100.0,66.66666666666667,100.0,100.0,100.0,100.0
play_gong,3,0.0,0.0,0.0,0.0,0.0,0.0
play_grandpiano,3,33.333333333333336,100.0,100.0,100.0,100.0,100.0
play_guitar,3,0.0,66.66666666666667,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667
play_handpan,3,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_harmonica,3,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
play_harp,3,0.0,0.0,0.0,0.0,0.0,0.0
play_hulahoop,3,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_hulusi,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336
play_jazzdrum,3,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_kendama,3,66.66666666666667,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_leaf-flute,3,0.0,0.0,0.0,0.0,0.0,0.0
play_lute,3,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_maracas,3,33.333333333333336,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667
play_melodic,3,0.0,0.0,0.0,0.0,0.0,0.0
play_noseflute,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
play_ocarina,3,0.0,100.0,100.0,100.0,100.0,100.0
play_panpipe,3,0.0,0.0,0.0,0.0,0.0,0.0
play_recorder,3,0.0,0.0,0.0,0.0,0.0,0.0
play_sanxian,3,66.66666666666667,0.0,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667
play_saw,3,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
play_saxophone,3,66.66666666666667,0.0,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
play_serpent,3,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
play_sheng,3,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
play_sitar,3,33.333333333333336,0.0,33.333333333333336,0.0,0.0,33.333333333333336
play_suona,3,0.0,0.0,0.0,0.0,0.0,0.0
